No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode [v],Dark Mode [v],Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
11,Retro-Futurism,General,"Vintage sci-fi, 80s aesthetic, neon glow, geometric patterns, CRT scanlines, pixel art, cyberpunk, synthwave","Neon Blue #0080FF, Hot Pink #FF006E, Cyan #00FFFF, Deep Black #1A1A2E, Purple #5D34D0","Metallic Silver #C0C0C0, Gold #FFD700, duotone, 80s Pink #FF10F0, neon accents","CRT scanlines (::before overlay), neon glow (text-shadow+box-shadow), glitch effects (skew/offset keyframes)","Gaming, entertainment, music platforms, tech brands, artistic projects, nostalgic, cyberpunk","Conservative industries, critical accessibility, professional/corporate, elderly, legal/finance",[v] Full,[v] Dark focused,[!] Moderate,[!] High contrast/strain,~ Medium,~ Medium,"Tailwind 8/10, CSS-in-JS 9/10",1980s Retro,Medium,"Build a retro-futuristic (cyberpunk/vaporwave) interface with neon colors (blue, pink, cyan), deep black background, 80s aesthetic, CRT scanlines, glitch effects, neon glow text/borders.","color: neon colors (#0080FF, #FF006E, #00FFFF), text-shadow: 0 0 10px neon, background: #000 or #1A1A2E, font-family: monospace, animation: glitch (skew+offset)","[ ] Neon colors used, [ ] CRT scanlines effect, [ ] Glitch animations active, [ ] Monospace font, [ ] Deep black background, [ ] Glow effects applied","--neon-colors: #0080FF #FF006E #00FFFF, --background: #000000, --font-family: monospace, --effect: glitch+glow"
12,Flat Design,General,"2D, minimalist, bold colors, no shadows, clean lines, simple shapes, typography-focused, modern, icon-heavy","Solid bright: Red, Orange, Blue, Green, limited palette (4-6 max)","Complementary colors, muted secondaries, high saturation, clean accents","No gradients/shadows, simple hover (color/opacity shift), fast loading, clean transitions (150-200ms ease), minimal icons","Web apps, mobile apps, cross-platform, startup MVPs, user-friendly, SaaS, dashboards, corporate","Complex 3D, premium/luxury, artistic portfolios, immersive experiences, high-detail",[v] Full,[v] Full,>>> Excellent,[v] WCAG AAA,[v] High,[v] High,"Tailwind 10/10, Bootstrap 10/10, MUI 9/10",2010s Modern,Low,"Create a flat, 2D interface with bold colors, no shadows/gradients, clean lines, simple geometric shapes, icon-heavy, typography-focused, minimal ornamentation.","box-shadow: none, background: solid color, border-radius: 0-4px, color: solid (no gradients), fill: solid, stroke: 1-2px, font: bold sans-serif","[ ] No shadows/gradients, [ ] 4-6 solid colors max, [ ] Clean lines consistent, [ ] Simple shapes used, [ ] High saturation colors","--shadow: none, --color-palette: 4-6 solid, --border-radius: 2px, --gradient: none, --animation: minimal 150-200ms"
13,Skeuomorphism,General,"Realistic, texture, depth, 3D appearance, real-world metaphors, shadows, gradients, tactile, detailed, material","Rich realistic: wood, leather, metal colors, detailed gradients (8-12 stops), metallic effects","Realistic lighting gradients, shadow variations (30-50% darker), texture overlays, material colors","Realistic shadows (layers), depth (perspective), texture details (noise, grain), realistic animations (300-500ms)","Legacy apps, gaming, immersive storytelling, premium products, luxury, realistic simulations, education","Modern enterprise, critical accessibility, low-performance, web (use Flat/Modern)",~ Partial,~ Partial,[X] Poor,[!] Textures reduce readability,--- Low,~ Medium,"CSS-in-JS 7/10, Custom 8/10",2007-2012 iOS,High,"Design a realistic, textured interface with 3D depth, real-world metaphors (leather, wood, metal), complex gradients (8-12 stops), realistic shadows, grain/texture overlays.","background: complex gradient (8-12 stops), box-shadow: realistic multi-layer, background-image: texture overlay (noise, grain), filter: drop-shadow","[ ] Realistic textures applied, [ ] Complex gradients 8-12 stops, [ ] Multi-layer shadows, [ ] Texture overlays present","--gradient-stops: 8-12, --texture-overlay: noise+grain, --shadow-layers: 3+, --animation-duration: 300-500ms"
14,Liquid Glass,General,"Flowing glass, morphing, smooth transitions, fluid effects, translucent, animated blur, iridescent, chromatic aberration","Vibrant iridescent (rainbow spectrum), translucent base with opacity shifts, gradient fluidity","Chromatic aberration (Red-Cyan), iridescent oil-spill, fluid gradient blends, holographic effects","Morphing elements (SVG/CSS), fluid animations (400-600ms curves), dynamic blur (backdrop-filter), color transitions","Premium SaaS, high-end e-commerce, creative platforms, branding experiences, luxury portfolios","Performance-limited, critical accessibility, complex data, budget projects",[v] Full,[v] Full,[!] Moderate-Poor,[!] Text contrast,~ Medium,[v] High,"Framer Motion 10/10, GSAP 10/10",2020s Modern,High,"Create a premium liquid glass effect with morphing shapes, flowing animations, chromatic aberration, iridescent gradients, smooth 400-600ms transitions.","animation: morphing SVG paths (400-600ms), backdrop-filter: blur + saturate, filter: hue-rotate + brightness, blend-mode: screen","[ ] Morphing animations 400-600ms, [ ] Chromatic aberration applied, [ ] Dynamic blur active, [ ] Iridescent gradients","--morph-duration: 400-600ms, --blur-amount: 15px, --chromatic-aberration: true, --iridescent: true, --blend-mode: screen"
15,Motion-Driven,General,"Animation-heavy, microinteractions, smooth transitions, scroll effects, parallax, entrance anim, page transitions","Bold colors emphasize movement, high contrast animated, dynamic gradients, accent action colors","Transitional states, success (Green #22C55E), error (Red #EF4444), neutral feedback","Scroll anim (Intersection Observer), hover (300-400ms), entrance, parallax (3-5 layers), page transitions","Portfolio sites, storytelling platforms, interactive experiences, entertainment apps, creative, SaaS","Data dashboards, critical accessibility, low-power devices, content-heavy, motion-sensitive",[v] Full,[v] Full,[!] Good,[!] Prefers-reduced-motion,[v] Good,[v] High,"GSAP 10/10, Framer Motion 10/10",2020s Modern,High,"Build an animation-heavy interface with scroll-triggered animations, microinteractions, parallax scrolling (3-5 layers), smooth transitions (300-400ms), entrance animations, page transitions.","animation: @keyframes scroll-reveal, transform: translateY/X, Intersection Observer API, will-change: transform, scroll-behavior: smooth","[ ] Scroll animations active, [ ] Parallax 3-5 layers, [ ] Entrance animations smooth, [ ] Page transitions fluid, [ ] GPU accelerated","--animation-duration: 300-400ms, --parallax-layers: 5, --scroll-behavior: smooth, --gpu-accelerated: true"
16,Micro-interactions,General,"Small animations, gesture-based, tactile feedback, subtle animations, contextual interactions, responsive","Subtle color shifts (10-20%), feedback: Green #22C55E, Red #EF4444, Amber #F59E0B","Accent feedback, neutral supporting, clear action indicators","Small hover (50-100ms), loading spinners, success/error state anim, gesture-triggered (swipe/pinch), haptic","Mobile apps, touchscreen UIs, productivity tools, user-friendly, consumer apps, interactive components","Desktop-only, critical performance, accessibility-first (alternatives needed)",[v] Full,[v] Full,>>> Excellent,[v] Good,[v] High,[v] High,"Framer Motion 10/10, React Spring 9/10",2020s Modern,Medium,"Design with delightful micro-interactions: small 50-100ms animations, gesture-based responses, tactile feedback, loading spinners, success/error states, subtle hover effects.","animation: short 50-100ms, transition: hover states, @media (hover: hover) for desktop, :active for press","[ ] Micro-animations 50-100ms, [ ] Gesture-responsive, [ ] Tactile feedback visual/haptic, [ ] Loading spinners smooth, [ ] Hover effects subtle","--micro-animation-duration: 50-100ms, --gesture-responsive: true, --haptic-feedback: true, --loading-animation: smooth"
17,Inclusive Design,General,"Accessible, color-blind friendly, high contrast, haptic feedback, voice interaction, screen reader, WCAG AAA, universal","WCAG AAA (7:1+ contrast), avoid red-green only, symbol-based indicators, high contrast primary","Supporting patterns (stripes, dots, hatch), symbols, combinations, clear non-color indicators","Haptic feedback (vibration), voice guidance, focus indicators (4px+ ring), motion options, alt content, semantic","Public services, education, healthcare, finance, government, accessible consumer, inclusive",None - accessibility universal,[v] Full,[v] Full,>>> Excellent,[v] WCAG AAA,[v] High,[v] High,All frameworks 10/10,Universal,Low,"Design for universal accessibility: high contrast (7:1+), large text (16px+), keyboard-only navigation, screen reader optimization, WCAG AAA compliance.","aria-* attributes complete, role attributes semantic, focus-visible: 3-4px ring, color-contrast: 7:1+, @media (prefers-reduced-motion), alt text on all images","[ ] WCAG AAA verified, [ ] 7:1+ contrast all text, [ ] Keyboard accessible (Tab/Enter), [ ] Screen reader tested, [ ] Focus visible 3-4px, [ ] No color-only indicators","--contrast-ratio: 7:1, --font-size: 16px+, --keyboard-accessible: true, --sr-compatible: true, --wcag-level: AAA"
18,Zero Interface,General,"Minimal visible UI, voice-first, gesture-based, AI-driven, invisible controls, predictive, context-aware, ambient","Neutral backgrounds: Soft white #FAFAFA, light grey #F0F0F0, warm off-white #F5F1E8","Subtle feedback: light green, light red, minimal UI elements, soft accents","Voice recognition UI, gesture detection, AI predictions (smooth reveal), progressive disclosure, smart suggestions","Voice assistants, AI platforms, future-forward UX, smart home, contextual computing, ambient experiences","Complex workflows, data-entry heavy, traditional systems, legacy support, explicit control",[v] Full,[v] Full,>>> Excellent,[v] Excellent,[v] High,[v] High,"Tailwind 10/10, Custom 10/10",2020s AI-Era,Low,"Create a voice-first, gesture-based, AI-driven interface with minimal visible UI, progressive disclosure, voice recognition UI, gesture detection, AI predictions, smart suggestions.","voice-commands: Web Speech API, gesture-detection: touch events, AI-predictions: hidden by default (reveal on hover), progressive-disclosure: show on demand","[ ] Voice commands responsive, [ ] Gesture detection active, [ ] AI predictions hidden/revealed, [ ] Progressive disclosure working, [ ] Minimal visible UI","--voice-ui: enabled, --gesture-detection: active, --ai-predictions: smart, --progressive-disclosure: true, --visible-ui: minimal"
19,Soft UI Evolution,General,"Evolved soft UI, better contrast, modern aesthetics, subtle depth, accessibility-focused, improved shadows, hybrid","Improved contrast pastels: Soft Blue #87CEEB, Soft Pink #FFB6C1, Soft Green #90EE90, better hierarchy","Better combinations, accessible secondary, supporting with improved contrast, modern accents","Improved shadows (softer than flat, clearer than neumorphism), modern (200-300ms), focus visible, WCAG AA/AAA","Modern enterprise apps, SaaS platforms, health/wellness, modern business tools, professional, hybrid","Extreme minimalism, critical performance, systems without modern OS",[v] Full,[v] Full,>>> Excellent,[v] WCAG AA+,[v] High,[v] High,"Tailwind 9/10, MUI 9/10, Chakra 9/10",2020s Modern,Medium,"Design evolved neumorphism with improved contrast (WCAG AA+), modern aesthetics, subtle depth, accessibility focus. Use soft shadows (softer than flat but clearer than pure neumorphism), better color hierarchy.","box-shadow: softer multi-layer (0 2px 4px), background: improved contrast pastels, border-radius: 8-12px, animation: 200-300ms smooth, outline: 2-3px on focus, contrast: 4.5:1+","[ ] Improved contrast AA/AAA, [ ] Soft shadows modern, [ ] Border-radius 8-12px, [ ] Animations 200-300ms, [ ] Focus states visible","--shadow-soft: modern blend, --border-radius: 10px, --animation-duration: 200-300ms, --contrast-ratio: 4.5:1+, --wcag-level: AA+"
20,Cyberpunk UI,General,"Neon, futuristic, cyber, dark, high-tech, glowing, holographic, grid, matrix, sci-fi, tech-noir","Neon Blue #0080FF, Hot Pink #FF006E, Cyan #00FFFF, Deep Black #000000, Purple #8B00FF","Metallic Silver #C0C0C0, Neon Green #39FF14, Gold #FFD700, holographic effects","Neon glow (text-shadow + box-shadow), glitch effects, holographic overlays, grid patterns, CRT effects, matrix rain","Gaming, tech products, crypto apps, cybersecurity, entertainment, tech brands, sci-fi projects","Corporate, healthcare, education, conservative industries, elderly, formal business",[v] Full,[v] Full,[!] Moderate,[!] High contrast/strain,~ Medium,~ Medium,"Tailwind 9/10, CSS-in-JS 9/10",2020s Modern,Medium,"Design a cyberpunk interface with neon colors, deep black background, glowing effects, holographic overlays, grid patterns, glitch effects, futuristic typography, tech-noir aesthetic.","color: neon (#0080FF, #FF006E, #00FFFF), text-shadow: 0 0 10px neon, background: #000000, border: neon glow, animation: glitch+glow","[ ] Neon colors active, [ ] Glitch effects working, [ ] Holographic overlays, [ ] Grid patterns visible, [ ] Deep black background, [ ] Glow effects applied","--neon-primary: #0080FF, --neon-secondary: #FF006E, --neon-accent: #00FFFF, --background: #000000, --glow-intensity: 10px"
21,Bento Box Grid,General,"Grid layout, modular, compact, organized, card-based, dashboard, bento grid, masonry-like","Brand primary, neutral backgrounds, accent colors for cards, high contrast","Card-specific colors, subtle borders, category indicators","Grid transitions, card hover (lift/scale), responsive reflow, scroll-snap, smooth transitions (200-300ms)","Dashboards, product features, portfolios, personal websites, data-heavy apps","Simple content, single-column blogs, text-heavy articles",[v] Full,[v] Full,>>> Excellent,[v] WCAG AA,[v] High,[v] High,"Tailwind 10/10, CSS Grid 10/10",2020s Modern,Medium,"Design a Bento Box grid layout with modular, compact cards organized in a responsive grid. Use CSS Grid for layout, card hover effects, category-based coloring, smooth transitions.","display: grid, grid-template-columns: repeat(auto-fit, minmax(250px, 1fr)), gap: 1rem, card: border-radius + shadow + hover","[ ] Grid layout responsive, [ ] Cards modular and compact, [ ] Hover effects smooth (200-300ms), [ ] Mobile reflow working","--grid-gap: 1rem, --card-radius: 12px, --card-shadow: var(--shadow-md), --card-hover: translateY(-4px)"
22,Hero-Centric Design,Landing Page,"Large hero section, compelling headline, high-contrast CTA, product showcase, value proposition, hero image/video","Brand primary color, white/light backgrounds for contrast, accent color for CTA","Supporting colors for secondary CTAs, accent highlights, trust elements","Smooth scroll reveal, fade-in animations on hero, subtle background parallax, CTA glow/pulse effect","SaaS landing pages, product launches, service landing pages, B2B platforms","Complex navigation, multi-page experiences, data-heavy applications",[v] Full,[v] Full,>>> Good,[v] WCAG AA,[v] Full,[v] Very High,"Tailwind 10/10, Bootstrap 9/10",2020s Modern,Medium,"Design a hero-centric landing page with full-width hero section, compelling headline (60-80 chars), high-contrast CTA button, product screenshot or video, value proposition above fold.","min-height: 100vh, display: flex, align-items: center, background: linear-gradient or image, max-width: 800px for text","[ ] Hero section full viewport height, [ ] Headline visible above fold, [ ] CTA button high contrast, [ ] Mobile responsive layout","--hero-min-height: 100vh, --headline-size: clamp(2rem, 5vw, 4rem), --cta-padding: 1rem 2rem"
23,Conversion-Optimized,Landing Page,"Form-focused, minimalist design, single CTA focus, high contrast, urgency elements, trust signals, social proof","Primary brand color, high-contrast white/light backgrounds, warning/urgency colors","Secondary CTA color (muted), trust element colors, accent for key benefits","Hover states on CTA (color shift, slight scale), form field focus animations, loading spinner, success feedback","E-commerce product pages, free trial signups, lead generation, SaaS pricing pages","Complex feature explanations, multi-product showcases",[v] Full,[v] Full,>>> Excellent,[v] WCAG AA,[v] Full (mobile-optimized),[v] Very High,"Tailwind 10/10, Bootstrap 9/10",2020s Modern,Medium,"Design a conversion-optimized landing page with single primary CTA, minimal distractions, trust badges, urgency elements, social proof, clear value proposition, form above fold.","form with focus states, input:focus ring, button: primary color high contrast, position: sticky for CTA, max-width: 600px for form","[ ] Single primary CTA visible, [ ] Form fields minimal (3-5), [ ] Trust badges present, [ ] Social proof above fold, [ ] Mobile form optimized","--cta-color: high contrast primary, --form-max-width: 600px, --input-height: 48px, --focus-ring: 3px solid accent"
24,Data-Dense Dashboard,BI/Analytics,"Multiple charts/widgets, data tables, KPI cards, minimal padding, grid layout, space-efficient","Neutral primary (light grey/white #F5F5F5), data colors (blue/green/red), dark text #333333","Chart colors: success (green #22C55E), warning (amber #F59E0B), alert (red #EF4444), neutral (grey)","Hover tooltips, chart zoom on click, row highlighting on hover, smooth filter animations","Business intelligence dashboards, financial analytics, enterprise reporting","Marketing dashboards, consumer-facing analytics, simple reporting",[v] Full,[v] Full,>>> Excellent,[v] WCAG AA,~ Medium,--- Not applicable,"Recharts 9/10, Chart.js 9/10, D3.js 10/10",2020s Modern,Medium,"Design a data-dense dashboard with multiple chart widgets, KPI cards row, data tables with sorting, minimal padding (8-12px), efficient grid layout, filter sidebar.","display: grid, grid-template-columns: repeat(12, 1fr), gap: 8px, padding: 12px, font-size: 12-14px, overflow: auto for tables, sticky headers","[ ] Grid layout 12 columns, [ ] KPI cards responsive, [ ] Tables sortable, [ ] Filters functional, [ ] Loading states for data","--grid-gap: 8px, --card-padding: 12px, --font-size-small: 12px, --table-row-height: 36px, --sidebar-width: 240px"
