No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
38,Permanent Marker + Inter,Hand-Sans,Permanent Marker,Inter,"Handwritten, bold, creative, artistic","Portfolios, creative projects, artistic, personal",https://fonts.google.com/share?selection.family=Permanent+Marker|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Permanent+Marker&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Permanent Marker', 'cursive'], sans: ['Inter', 'sans-serif'] }",Bold handwritten for creative impact. Use sparingly.
39,Patrick Hand + Nunito,Hand-Sans,Patrick Hand,Nunito,"Handwritten, friendly, casual, personal","Personal blogs, education, casual, friendly",https://fonts.google.com/share?selection.family=Patrick+Hand|Nunito:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Patrick+Hand&family=Nunito:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Patrick Hand', 'cursive'], sans: ['Nunito', 'sans-serif'] }",Friendly handwritten. Great for casual and education.
40,Indie Flower + Inter,Hand-Sans,Indie Flower,Inter,"Playful, handwritten, creative, fun","Creative projects, education, children's, fun",https://fonts.google.com/share?selection.family=Indie+Flower|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Indie+Flower&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Indie Flower', 'cursive'], sans: ['Inter', 'sans-serif'] }",Playful handwritten. Fun and creative.
41,Orbitron + Rajdhani,Sans-Sans,Orbitron,Rajdhani,"Futuristic, sci-fi, tech, gaming, cyberpunk","Gaming, sci-fi, tech brands, crypto, futuristic",https://fonts.google.com/share?selection.family=Orbitron:wght@400;500;600;700|Rajdhani:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Orbitron:wght@400;500;600;700&family=Rajdhani:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Orbitron', 'sans-serif'], sans: ['Rajdhani', 'sans-serif'] }",FUTURISTIC sci-fi fonts. Perfect for gaming and crypto.
42,Press Start 2P + VT323,Mono-Mono,Press Start 2P,VT323,"Pixel, retro, 8-bit, gaming, nostalgic","Indie games, retro apps, pixel art, nostalgic",https://fonts.google.com/share?selection.family=Press+Start+2P|VT323,@import url('https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&display=swap');,"fontFamily: { heading: ['Press Start 2P', 'monospace'], mono: ['VT323', 'monospace'] }",PIXEL fonts for retro gaming. 8-bit nostalgia.
43,Monoton + Raleway,Display-Sans,Monoton,Raleway,"Retro, neon, 80s, synthwave, cyberpunk","Music, retro brands, 80s aesthetic, neon",https://fonts.google.com/share?selection.family=Monoton|Raleway:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Monoton&family=Raleway:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Monoton', 'cursive'], sans: ['Raleway', 'sans-serif'] }",RETRO NEON display. Maximum 80s vibe.
44,Faster One + Montserrat,Display-Sans,Faster One,Montserrat,"Speed, racing, sports, dynamic, fast","Sports, racing, automotive, dynamic brands",https://fonts.google.com/share?selection.family=Faster+One|Montserrat:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Faster+One&family=Montserrat:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Faster One', 'cursive'], sans: ['Montserrat', 'sans-serif'] }",SPEED-THEMED display. Great for sports and automotive.
45,Alfa Slab One + Roboto Slab,Serif-Serif,Alfa Slab One,Roboto Slab,"Bold, slab serif, impactful, modern","Headlines, bold statements, marketing, editorial",https://fonts.google.com/share?selection.family=Alfa+Slab+One|Roboto+Slab:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Alfa+Slab+One&family=Roboto+Slab:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Alfa Slab One', 'serif'], serif: ['Roboto Slab', 'serif'] }",BOLD slab serif for impact. Modern editorial feel.
46,Creepster + Roboto,Display-Sans,Creepster,Roboto,"Spooky, halloween, horror, fun, thematic","Halloween, horror, themed events, fun projects",https://fonts.google.com/share?selection.family=Creepster|Roboto:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Creepster&family=Roboto:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Creepster', 'cursive'], sans: ['Roboto', 'sans-serif'] }",SPOOKY themed display. Fun for seasonal projects.
47,Lobster + Open Sans,Display-Sans,Lobster,Open Sans,"Retro, script, playful, vintage","Restaurants, food, retro brands, casual",https://fonts.google.com/share?selection.family=Lobster|Open+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Lobster&family=Open+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Lobster', 'cursive'], sans: ['Open Sans', 'sans-serif'] }",RETRO SCRIPT for casual and food brands.
48,Dancing Script + Lato,Script-Sans,Dancing Script,Lato,"Elegant script, cursive, sophisticated, wedding","Weddings, luxury, elegant brands, invitations",https://fonts.google.com/share?selection.family=Dancing+Script:wght@400;500;600;700|Lato:wght@400;300;700,@import url('https://fonts.googleapis.com/css2?family=Dancing+Script:wght@400;500;600;700&family=Lato:wght@400;300;700&display=swap');,"fontFamily: { heading: ['Dancing Script', 'cursive'], sans: ['Lato', 'sans-serif'] }",ELEGANT SCRIPT for luxury and events.
49,Great Vibes + Playfair Display,Script-Serif,Great Vibes,Playfair Display,"Elegant script, luxury, sophisticated, premium","Luxury brands, weddings, premium services, high-end",https://fonts.google.com/share?selection.family=Great+Vibes|Playfair+Display:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Great+Vibes&family=Playfair+Display:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Great Vibes', 'cursive'], serif: ['Playfair Display', 'serif'] }",ULTRA ELEGANT script. Maximum luxury feel.
50,Pacifico + Quicksand,Script-Sans,Pacifico,Quicksand,"Retro, beach, casual, fun, laid-back","Beach brands, casual, food trucks, laid-back",https://fonts.google.com/share?selection.family=Pacifico|Quicksand:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Pacifico&family=Quicksand:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Pacifico', 'cursive'], sans: ['Quicksand', 'sans-serif'] }",RETRO BEACH script. Fun and laid-back vibe.
51,Space Grotesk + DM Mono,Mono-Sans,Space Grotesk,DM Mono,"Tech, modern, code, developer, monospace","Developer tools, code editors, tech blogs, APIs",https://fonts.google.com/share?selection.family=Space+Grotesk:wght@400;500;600;700|DM+Mono:wght@400;500,@import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700&family=DM+Mono:wght@400;500&display=swap');,"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], mono: ['DM Mono', 'monospace'] }",Tech headings + code body. Perfect for developer tools.
52,Instrument Serif + Instrument Sans,Serif-Sans,Instrument Serif,Instrument Sans,"Elegant, modern, editorial, sophisticated","Editorial, luxury brands, fashion, premium content",https://fonts.google.com/share?selection.family=Instrument+Serif|Instrument+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Instrument+Serif&family=Instrument+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Instrument Serif', 'serif'], sans: ['Instrument Sans', 'sans-serif'] }",PREMIUM serif + sans pairing. Ultra elegant.
53,Newsreader + Source Sans 3,Serif-Sans,Newsreader,Source Sans 3,"Readable, editorial, trustworthy, professional","News, blogs, documentation, legal, healthcare",https://fonts.google.com/share?selection.family=Newsreader:wght@400;500;600;700|Source+Sans+3:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Newsreader:wght@400;500;600;700&family=Source+Sans+3:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Newsreader', 'serif'], sans: ['Source Sans 3', 'sans-serif'] }",Classic news serif + clean sans. Highly readable.
54,DM Serif Display + DM Sans,Serif-Sans,DM Serif Display,DM Sans,"Elegant, modern, sophisticated, premium","Premium brands, luxury, editorial, creative agencies",https://fonts.google.com/share?selection.family=DM+Serif+Display|DM+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=DM+Serif+Display&family=DM+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['DM Serif Display', 'serif'], sans: ['DM Sans', 'sans-serif'] }",PREMIUM serif display + clean sans. Modern elegance.
55,Crimson Pro + Work Sans,Serif-Sans,Crimson Pro,Work Sans,"Classic, readable, editorial, professional","Editorial, news, blogs, documentation, academic",https://fonts.google.com/share?selection.family=Crimson+Pro:wght@400;500;600;700|Work+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Crimson+Pro:wght@400;500;600;700&family=Work+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Crimson Pro', 'serif'], sans: ['Work Sans', 'sans-serif'] }",Classic serif + modern sans. Readable and professional.
56,IBM Plex Serif + IBM Plex Sans,Serif-Sans,IBM Plex Serif,IBM Plex Sans,"Technical, professional, corporate, enterprise","Enterprise, technical documentation, corporate",https://fonts.google.com/share?selection.family=IBM+Plex+Serif:wght@400;500;600;700|IBM+Plex+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Serif:wght@400;500;600;700&family=IBM+Plex+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['IBM Plex Serif', 'serif'], sans: ['IBM Plex Sans', 'sans-serif'] }",ENTERPRISE serif + sans. Professional and technical.
57,Source Serif 4 + Source Sans 3,Serif-Sans,Source Serif 4,Source Sans 3,"Readable, classic, editorial, professional","Editorial, news, blogs, documentation, academic",https://fonts.google.com/share?selection.family=Source+Serif+4:wght@400;500;600;700|Source+Sans+3:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Source+Serif+4:wght@400;500;600;700&family=Source+Sans+3:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Source Serif 4', 'serif'], sans: ['Source Sans 3', 'sans-serif'] }",Classic serif + sans pairing. Highly readable.
58,PT Serif + PT Sans,Serif-Sans,PT Serif,PT Sans,"Classic, readable, professional, editorial","Editorial, news, blogs, documentation, academic",https://fonts.google.com/share?selection.family=PT+Serif:wght@400;700|PT+Sans:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=PT+Serif:wght@400;700&family=PT+Sans:wght@400;700&display=swap');,"fontFamily: { heading: ['PT Serif', 'serif'], sans: ['PT Sans', 'sans-serif'] }",Classic Russian serif + sans. Readable and professional.
59,Playfair Display + Source Sans 3,Serif-Sans,Playfair Display,Source Sans 3,"Elegant, editorial, sophisticated, premium","Editorial, luxury brands, fashion, premium content",https://fonts.google.com/share?selection.family=Playfair+Display:wght@400;500;600;700|Source+Sans+3:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@400;500;600;700&family=Source+Sans+3:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Playfair Display', 'serif'], sans: ['Source Sans 3', 'sans-serif'] }",PREMIUM serif + clean sans. Ultra elegant.
